,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company,state,zip_code,company_response,timely_response,consumer_disputed
64776,Credit card,,Closing/Cancelling account,,"Us Bank has charged off an account and continues to report and inaccurate balance to the credit bureaus which has hurt my ability to obtain credit. Us Bank continues to verify the account with the burueus but has failed to validated and verify the account with me and the FCRA clearly states any account that cant be verified with original documentation and signatures must be deleted from the consumers credit file Section 609 ( a ) ( 1 ) ( A ) & Section 611 ( a ) ( 1 ) ( A ). Furthermore you have failed to provide the method of verification as required under Section 611 ( a ) ( 7 ). Please be advised that under Section 611 ( 5 ) ( A ) of the FCRA - you are required to "" ... promptly DELETE all information which can not be verified. '' The law is very clear as to the Civil liability and the remedy available to me ( Section 616 & 617 ) if you fail to comply with Federal Law. I am a litigious consumer and fully intend on pursuing litigation in this matter to enforce my rights under the FCRA.  ",U.S. Bancorp,CA,93700.0,Closed with explanation,Yes,
64777,Credit card,,Credit card protection / Debt protection,,"About XXXX years ago, i received a credit card of {$300.00} issued by HSBC, with 0 % financing for a year. I purchased insurance on the account, as I was afraid of being layed off ( I am an older worker ). I was told at the time, by phone, by the insurance company and HSBC, that if I became unemployed, the insurance would pay off my account. A month or two later, I was layed off due to my illness, and initiated the program, providing the information needed to both companies. When I returned to work XXXX months later, the program ended, and when I checked my balance, I still owed about {$300.00}. When I inquired with the insurance, they claimed that they payed out around {$30.00} a month for nine months, or around {$270.00}. When i inquired about the account with HSBC, they said they dropped the interest rate when they froze the account. Now if the insurance company was paying at least the minimum on the account, why did the HSBC change the interest rate without informing me? This product was sold to me with the intention of preserving my credit by paying on this account, and was misrepresented by both parties involved. To make this story worse, HSBC was bought by Capitol One. I discovered this after I got a call from Capitol One saying I need to send a payment on my account. I told them, I do n't have a Capitol One account, wherein they told me that my account was purchased by HSBC. I told them of the problems with HSBC, and they told me, that they had no idea where that money went, but that Capitol One purchased the account. I told them that I have already paid via my insurance on that account, and the amount owed should have been less than a XXXX bucks, not the {$300.00} they claim as the balance. They claimed to know nothing about my situation, so I tell them I am not paying them money I do not owe. Flash forward to today : its been years since that conversation, Capitol One has accessed late fees on a credit card account I do not own. This was then turned over to an odious collection agency called XXXX XXXX, after upping the ante from {$300.00} to {$500.00}. I have told these people for years I am not paying them, and will not. I may one day settle this, but its not going to be for {$300.00} or {$500.00}, it will be for the amount owed on the original account, minus the amount paid by the insurance. In the years between, I have purchased cars, and other items with credit, paying them off in a timely manner. Recently, I have left work again, due to my health problems, and have related this to XXXX XXXX, who still wants to collect for Capitol One. They wanted me to put an account of this in writing to them, but I have instead opted to put an account of this in writing to you, in the hopes you will forward the complaint to both Capitol One and XXXX XXXX. If my failing health and employment issues do not sway them to write this off, then the next window to conclude this chapter is XXXX 2016, when I file and receive my meager income tax return, wherein I will offer again, to pay the original amount due, minus the money paid by my insurance to whoever is collecting it. Or nothing if they like. I currently do own a credit card ; HSBC was my last.  ",Capital One,NC,27000.0,Closed with non-monetary relief,Yes,
64778,Prepaid card,General purpose card,Unauthorized transactions/trans. issues,,"On XXXX XXXX, 2015 there was a direct deposit made by job of {$80.00} to my Rushcard account. That same day Rushcard made a duplicate deposit of {$80.00} and then made a duplicate reversal of {$160.00}. I contacted the company on XXXX separate occasions to explain why this transaction occurred and when can I expect to have my money returned to me. On each occasion I was placed on hold for more than an hour and despite promises to rectify my account the money has not been returned to me. The last representative I spoke to advised that he would take this matter straight to the corporate office to resolve and would send me an email confirmation of our conversation. This was on XXXX and I have not heard from anyone nor did I receive the email. I am very frustrated at this situation and the lack of resolution.  ","Empowerment Ventures, LLC",NY,11500.0,Closed with monetary relief,Yes,
64779,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"I received my regular mortgage bill with an extra amount due monthly. It states is for attorney fee for a foreclosure in the total of XXXX. I called them asking how this is? They stated I went into foreclosure when I did n't and told me this is their attorney fees, I asked them for a copy of the attorney 's bill they received and proof I went into foreclosure. They have history of doing this to people and false charges. They stated they had no proof that they only had a letter that was sent to me a XXXX ago stating my account could go into foreclosure if Im not caught up. I was late XXXX month and this does n't constitute foreclosure and nor was foreclosure started. I would like a copy of the attorneys bill for the amount they are charging me. They are always extremely nasty on the phone to me and threaten me in different ways.  ",Ditech Financial LLC,FL,34900.0,Closed with explanation,Yes,
64780,Credit reporting,,Incorrect information on credit report,Information is not mine,"The credit reporting agency told me if the court couldnt prove the lien was mine, they woould remove it. They said all I have to do is wait XXXX days and it will be removed. After the other two credit reporting agencies removed the erroneous report off of my name instantly with the IRS document I provided, they decided it wasnt good enough. Then I continued sending in IRS documents that the IRS said would clear my name, the whole time they did not tell me each time I send new information in, it resets the XXXX days I have to wait. So today I finally found out ( now that it was about to be XXXX days ) that they have been resetting my XXXX day wait period. Now I have had destroyed credit that continues to go on and on. They do not know how to read the IRS documents and are accusing me of something the IRS said they should easily be able to read. The complaint I have is that they were not honoring the initial XXXX day window to clear my name if not proven guilty, now it is getting closer to XXXX month I will have to wait. They should not be able to assume I want to extend my XXXX days by sending them new information that is only extending my time for my name to be cleared. They did not tell me they would do this, and it has really hurt me financially and is continuing to. They should have to disclose to the disputing party that any information sent resets the XXXX day waiting period, otherwise that means a person is claiming to be guilty because why would anybody want to wait longer when they know the initial debt collecting party can not prove anything because it is false.  ",Experian,CO,80500.0,Closed with non-monetary relief,Yes,
64781,Mortgage,Other mortgage,Credit decision / Underwriting,,"XX/XX/XXXX I applied to Bank of America for refinancing of home due to scamming by current mortgage holder.  XX/XX/XXXX house was appraised; appraised value approximately $40,000 less than comparables.  Made written complaint to BOA and multiple phone  calls.  Only responses came from local mortgage loan officer who had to get update from someone else.  XXXX day he was not there and was told previous Thursday was his last day on job.  Since, received XXXX return phone calls but no others although I tried to get updates.  I was told to NOT pay previous mortgage in XX/XX/XXXX. but in XX/XX/XXXX. paid because I was three months overdue.  Still no response from BOA as to current status of initial application.  In XX/XX/XXXX. was finally told application was cancelled because of concern over appraisal.  Offered to reapply which I accepted.  Finally closed in mid-XX/XX/XXXX.  Before re-fi- application had HELOC which was rolled into re-fi amount.  After closing in XX/XX/XXXX. I received appraisal ""drive-by"" update upholding original appraisal but limited MLS inquiry to houses sold to max of $100.000 since date of original appraisal.  Three weeks after original appraisal, house XXXX with initial identical floor sold for $40,000 more than the appraisal of my house.  As after initial appraisal I made complaint to XXXX which denied any action.  Soon after closing on re-fi  BOA re-applied for HELOC and was denied for # of delinquent accounts, proportion of balance to limit on revolving accts, too many inquiries in last 12 months, and insufficient length of revolving credit history.  Report dated XX/XX/XXXX for XXXX credit agencies shows XXXX, XXXX, XXXX but another document shows XXXX for credit score.  Current report shows XXXX acct--XXXX of which have current activity.  Others have been paid off.  No. of  inquiries were elevated due primarily to activity related to re-fi and HELOC activity and   one emergency home repair.  History reported goes back as far as XX/XX/XXXX.  I don't know where they came up with their conclusions.  I am satisfied with the ultimate re-financing but not with the hassles I had to go through to get to that point which had a deleterious effect on my health during this time.  I had to talk to too many different people to find out what was going on only to get no response.  Then to get this fabricated denial of my HELOC application was a ""low blow.""  I think it all revolves around the falsified appraisal.",Bank of America,MP,64100.0,Closed with explanation,Yes,
64782,Mortgage,Conventional adjustable mortgage (ARM),"Application, originator, mortgage broker",,"I was interested in re-financing my existing 5/1 ARM with Capital One, which is in its XXXX year. Their website ( capitalone360.com ) states 5/1 loans are available with no closing points. I called to start the re-finance application and was told that I would have to pay 1.25 % in points. This was not disclosed anywhere ontheir website. The loan I wanted for 0.00 % points was only available for a home purchase ( not re-finance ) with at least 40 % equity ( I have over 80 % equity ). Nothing on the website indicates these conditions except for the example of the monthly payment. This is basically a bait-and-switch tactic and misleading in order to get me to call for a loan and charging me for something else at a higher cost than advertised.  ",Capital One,NC,27600.0,Closed with explanation,Yes,
64783,Credit card,,Billing disputes,,"Ttarget is charging odd amounts to my credit card, such as a penny here and there as the total. I was aware of this on XXXX XXXX. Also no one in customer service would respond. They have. Weird way of charging for online orders. They do it individually as shipped, but a penny. I sense something fishy.  ",TD Bank US Holding Company,OH,43400.0,Closed with explanation,Yes,
64784,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,Wells Fargo Home Mortgage shows a status discharge through bankruptcy chapter XXXX in the amount of {$54000.00} as of XX/XX/XXXX. I believe this is my current Mortgage that I am and have been paying on. Wells Fargo was not listed in my bankruptcy. Please advise. Thank you in advance for your consideration.  ,Wells Fargo & Company,CA,93100.0,Closed with explanation,Yes,
64785,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,"Recently I received an escrow analysis that showed a shortage in my escrow account. As I reviewed the document, I noticed during the escrow analysis period that GreenTree Mortgage had included XXXX property tax bills. In California, we pay property taxes XXXX times a year. GreenTree accomplished this by changing the escrow analysis period, paying the tax payment early, and including XXXX months in the escrow analysis period instead of XXXX. I compared it to last year 's analysis period and it was definitely done differently. As a result, they increased my monthly mortgage payment by over {$100.00}. I called them and contested the increase due to the reasons I stated above and the unfairness of their actions. I never received a response. So, I called them again and was told over the phone that they denied my request to leave my house payment the same. Then I requested in writing that my escrow be closed and that I assume responsibility for making my own property tax payments. I included in the letter my reasons and my displeasure over their unfair practice. I just received a denial of that request in writing as well because they indicated that "" The principal balance of your account is not less than 80 % of the original value of the property. '' Our house was originally valued at {$500000.00} ; however, we bought it for {$450000.00}. We put a large down payment and we now owe {$310000.00} on the home. That is less than 80 % of the original value. More money in my escrow account means more interest collected by the mortgage company.  ",Ditech Financial LLC,CA,95600.0,Closed with explanation,Yes,
64786,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,"Loan is with Ocwen and seller is in pre-foreclosure, has NEVER asked for a postponement of the sale until recently once seller understood how a short sale would help them avoid foreclosure. Seller was told by Option One, back in XXXX that there was "" Nothing they could do for them and to GET OUT '' of the house. They were told it would foreclose in XXXX XXXX. The house has sat vacant for years now, and seller never knew the bank did n't foreclose on them, until I reached out to let them know. After learning their story, i believe they deserve a break and would love to see them get a short sale approved. Today, Ocwen basically confirmed foreclosure is XXXX and that they did not have enough time to review the option and closed out the short sale review. We sent the proposal to Ocwen on XXXX/XXXX/XXXX, and are asking for postponement of the sale in order to get short sale reviewed. There is a cash offer on the table. Again, the seller has never asked for a postponement, this is the first time and Ocwen is saying no.  ",Ocwen,WA,98600.0,Closed with non-monetary relief,Yes,
64787,Bank account or service,Checking account,Problems caused by my funds being low,,"After XXXX years of banking with Bank of America and being a GOOD customer, i made XXXX mistake and now they are treating me like a CRIMINAL! I am NOT a criminal, i have a good hard working american and deserve to be giving a XXXX chance for this dumb mistake. I have had problems getting good jobs, when i have GREAT work history and experience becuase of Bank of America putting me on XXXX and XXXX.  ",Bank of America,AZ,85000.0,Closed with non-monetary relief,Yes,
64788,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,"I refinanced my primary residence under HARP in XXXX 2012. My loan was with Bank Of America. I was underwater more than 125 %. I was coerced into getting the refinance loan from bank Of America. XXXX XXXX was the loan officer at BOA. I was constantly told that only BOA is allowed to refinance as I am underwater 125 %. And, they gave me a very high rate. When the market rate was 3.5 % I was offered over 4.5 %. I had no option but to pay more than 1 % point fees to get 4 % rate to reduce my monthly payment. During the whole process I was told to hurry because the program will end soon. I felt like cheated. I wrote to XXXX back in XXXX 2012 about my concern and she never responded. I wanted to file a complain in XXXX but got too busy with my life.  ",Bank of America,CA,92600.0,Closed with explanation,Yes,
64789,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Frequent or repeated calls,"I contacted the the loan company, mariner finance in XXXX of 2015, and told them the reason why I was behind on XXXX payments was because I was having financial difficulty and that my wife and I are XXXX. I also told them that I would try and pay in XXXX. The woman I had spoke to on the phone said that if i was not going to pay that they would have to file a suit against me, after I had already told her that I would try and pay in XXXX. I then replied to her to do what she had to do, then she rudely hung up on me. since then there has been non stop phone calls by them trying to get a hold of me. They also had someone go to my house with an envelope saying please call us. In the envelope there was one of their cards.  ","Mariner Finance, LLC",NC,27200.0,Closed with explanation,Yes,
64790,Mortgage,Conventional fixed mortgage,Settlement process and costs,,"XXXX XXXX XXXXXXXXXXXX.  To Whom it may concern, Our loan is owned by XXXX, Until XXXX of last year we were being serviced by XXXX, do to circumstances beyond our control, we have had a few rough years starting with my health, in 2010 I had to have XXXX XXXX, ending up with me having to apply for XXXX. My husbands company in which he has worked for over XXXX years, was sold and under reconstruction he lost income there, my parents both died in XXXX months of each other and there was no insurance, we had to help pay funeral cost, these circumstances made it difficult for us to maintain a mortgage payment of XXXX. Last XXXX XXXX offered us a modification trial which brought our payment down to XXXX we have had no problem making this payment. and made XXXX in a row. After we made our XXXX payment to XXXX, we were switched to .Select Portfolio, we have had such a difficult time dealing with this company never get to speak to the same person XXXX, they assigned us an account person an til this date never spoke with .or if you leave a message, do n't return any calls. So they sent us a letter from XXXX saying they were n't going to honor our trial, a letter which we never received. I called XXXX and they stated that the offer was not declined and XXXX should be finalizing the agreement.  I have a letter stating if we make XXXX payments of XXXX we would be permanently have that payment, XXXX even sent us a XXXX write off and XXXX company did n't honor that either. Why would XXXX send us a wrote off if they were n't going to honor the trial. XXXX told us we had to apply for your in house modification, in which we did and it has been very difficult, I have faxed it at least XXXX different times and even register mailed it, each and every time, I was told something was missing, even when I sent the registered letter, someone told me they did n't receive it, and I had the computer in front of me and I had to say someone signed for it, ( That 's funny I have proof that someone in your company signed for it ), I was put on hold and then told yeah we got it page XXXX is missing. When we finally received paper work from them instead of offering us a modification, their expecting us to pay 3000.00 a month, to catch up back payments not honoring the XXXX straight payments we made, their trying to say were XXXX behind if you subtract the payments we made it would n't be that much, along with the paper work was an application for short sale, they even had our home apprised which gave rental value of the house instead of market value, also on the paper work our income is n't correct, they have us making more then we actually make, I feel instead of helping us maintain our home, XXXX is trying to either foreclosed on us, or do a short sale it, do n't want to help us at all.    .         .          Select Portfolio Servicing , Inc .  ","Select Portfolio Servicing, Inc",PA,19300.0,Closed with explanation,Yes,
64791,Consumer Loan,Vehicle loan,Managing the loan or lease,,"I submitted a payment to Southeast Toyota in XXXX 2013 and the company marked me as 30 days past due on my credit report, however, I had submitted bank statements at the time showing that i made the payment and it posted to my account, and the date, but they refuse to make the necessary changes to correct the error.  ",World Omni Financial Corp.,FL,32200.0,Closed with monetary relief,Yes,
64792,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,"Allied Interstate ( a debt collector ) is calling 10-15 times per day to collect on a debt I owe for XXXX XXXX. I admit I owe the debt and have offered to pay $ XXXX/mo which they refused. They are calling my cell phone, my husbands cell phone, my work phone, and my home phone. I have asked them to stop calling and sent a cease and desist letter, but the calls continue. The rare times I answer, I get no response. These calls are 7 days/week and non-stop. I can not receive these types of calls especially at work and they are putting my job in jeopardy In the last four days I have received 48 phone calls. Again offered to make the $ XXXX/mo payments and they refused stating that was n't good enough. Please make them stop calling  ",Allied Interstate LLC,AZ,85300.0,Closed with non-monetary relief,Yes,
64793,Mortgage,FHA mortgage,Settlement process and costs,,"I have closed on my FHA XXXX loan over 3 months ago, I took out a XXXX loan so I could have the roof replaced after I bought the house. The roofing company I chose got half down for the roof and supposed to get the other half after the roof was replaced and all inspections have passed. The roof has been replaced and all inspections have been passed over two and a half months ago. The money store is refusing to pay the roofers roofers and continue to ask for more financial information for their "" investers '' ond saying they will not pay the roofers unless I give them all the info they need.I have cooperated fully, now it has been almost three months, the roofers are still not paid and they are going to put a lien on my house. The money store continues to ignore my phone calls  ","MLD Mortgage, Inc.",FL,32100.0,Closed with explanation,No,
64794,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"Called PNC Mortgage today in regards to terminating our PMI and the letter I received for the process. The letter states the investor requires the XXXX to be 75 %. I am at XXXX % LTV. I state that at 80 % I have a right to remove it or wait until loan date to reach XXXX % as scheduled. PNC Rep. stated the investor requirements were XXXX %. I asked how he can supersede the government? Secondly I never signed with PNC ( loan sold to PNC ) and I stated my agreement does not indicate XXXX % LTV on the documents I signed. so forth and so on. I also stated if I wrote a $ XXXX check today cut my loan in half and the new LTV was XXXX % would I have to pay PMI. She stated yes and the investor would need to review and an appraisal would need to be done at {$500.00}. I then stated the only way to eliminate the PMI with PNC would be to sell/refinance the loan to someone else. Long story short, I did not get anywhere with PNC.  ",PNC Bank N.A.,NH,3000.0,Closed with explanation,Yes,
64795,Credit reporting,,Incorrect information on credit report,Information is not mine,"I noticed that on a recent credit report, it had an address listed for me in XXXX where I had never lived, so I 'm not sure why this address is showing up on my credit report.  ",Experian,NM,88000.0,Closed with non-monetary relief,Yes,
64796,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,In 2014 I successfully invalidated a XXXX XXXX account from my Experian credit report. Experian just let XXXX XXXX re-insert it after 6 months knowing that it had been invalidated and deleted. The Consumer Financial Protection Bureau as well as the Federal Trade Commission highly scrutinizes this abusive practice by financial institutions and must cease these actions immediately.  ,Experian,NH,3400.0,Closed with explanation,Yes,
64797,Consumer Loan,Vehicle loan,Managing the loan or lease,,"I had an auto loan as a co borrower with Santander Consumer USA for a XXXX XXXX Infinity M37x I had made about 1 year worth of payments as I was driving this car from XX/XX/XXXX-XX/XX/XXXX. XX/XX/XXXX I informed Santader that I no longer wished to own this veichle and that I would like to surender the car. Santander informed me that I was unable to surrender the vehicle because at the time I was up to date on my payments and that I had to be at least 90 days "" past due '' before they would reposses the vehicle. I explained to Santander that I did not want the late payment information on my credit nor did I want to continue to insure the vehicle for this period. Santander informed me that they would not accept my surrender. I then had the vehicle towed to XXXX XXXX located at XXXX XXXX XXXX in XXXX XXXX, XXXX ( XXXX ) XXXX and informed Santander of the location of the vehicle and that they would need to retrieve it from there.   Under XXXX law a transfer of a vehicle title may only occur if the primary lien on the title is satisfied. Santander supplied a lien release letter to whom ever sold this vehicle my attached documentation shows that this title has been tranfered to XXXX XXXX leasing and finance in XXXX, XXXX. Santander continues to report my balance with interest and penalties as if this sale never took place to all three credit bureaus. Santander takes no collection activity on this account. Subsequent to the sale of this vehicle as well as currently, I have contacted Santader to try and resolve this if any additional money is owed but they refuse saying they never sold the vehicle which is false. Santander is committing fraud by reporting innacurate information on my credit reports. Further more they are trying to receive money from me in the amount of approximately {$29000.00}. Santander should have sold this vehicle for approximately {$27000.00}. Santader has charged me unfair interest and penalties which would account for the other {$2000.00}.   As a resolution I want this item deleted from all three of my credit reports. I also want the erroneous interest and fees returned to me. I would also like action to be taken by the government to ensure that these unfair practices do not continue. Santander has done everything in their power to punish me for not wanting a car. The car was in excellent condition and a much simpler resolution could have occurred. They are unprofessional and predatory.  ",Santander Consumer USA Holdings Inc,NY,11300.0,Closed with explanation,Yes,
64798,Credit card,,Balance transfer,,"I have received at least XXXX solicitations for a balance transfer from CapitalOne over the past several weeks. I decided to accept their offer onXX/XX/XXXX at approximately XXXX. Upon completing the informationfor the transfer, Capital One shut down my account due to "" suspiciousactivity ''. When I called them, they cut me off XXXX before asking me aseries of questions, which had no answer from a representative whodid not have a capable command of the XXXX language. Questionsincluded the age of my father, which I answered correctly, a car that Iowned XX/XX/XXXX, which I answered correctly, and towns where I lived, which did not exist ( e.g. XXXX, NJ-there is no town called XXXX, NJ, I did tell them that I lived in XXXX County, NJ at some point, whichserved to confused the issue ). They informed me that I would have to filepaperwork to re-open my account due to possible fraud. This is not thefirst episode of ridiculousness that I have had with Capital One.  ",Capital One,FL,33000.0,Closed with explanation,Yes,
64799,Credit card,,Credit determination,,I applied for the Gap Visa card and was declined after they told me that I wasapproved at first and so they lied to me this is not right as a bank they shouldnot be lying to me this is not right they need to upgrade my card to a visa forlying and i want a number to call to talk to them about this situation  ,Synchrony Financial,TX,77300.0,Closed with explanation,Yes,
64800,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,"I have a roofing company that is not being paid because Ocwen Financial insists on using a monitored claims AFTER the roof was completed! I was not informed of that process initially and it is creating many problems. The Ocwen process does not fit the remuneration process required to pay the contractor and they have offered no means to resolve to actually handle the problem. I ca n't finish all the claims work needed during the winter to adhere to their process. The roofing contractor is a small business with a dozen or so employees and needs the funds to pay its workers. Ocwen is telling me they pay at a 30 % of claim, 60 % of claim and 90 % of claim after an inspection. There are XXXX parts to my insurance claim. Aside : Ocwen is loan servicer and not an insurance company. The insurance company has already seen and accepted the new class XXXX roof completion and sent the remaining funds to pay off the contractor. The problem is the insurance claim has XXXX parts : the roof, windows, deck and painting due to hail / wind / water damage. Ocwen 's process treats is all as XXXX claim. The wo n't release enough funds for me to pay the roofing contractor. They will not resolve the problem and are unresponsive to the real problem. Very concerned I will have lien on my property based on Ocwen 's processes which do n't fit this claim situation.  ",Ocwen,CO,80900.0,Closed with explanation,Yes,
64801,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,"Ocwen is essentially refusing to perform an escrow account analysis. Ocwen raised our escrow payments when they originally took over our servicing, so I 'm certain there is an overage in the account. Our analysis is typically performed in XXXX, and as expected we received a notice in XX/XX/XXXX saying there was a fairly substantial overage and we would be receiving a check within 30 days. XXXX we received a notice saying the previous notice had been in error, and that a second escrow account analysis would be performed in XXXX. We waited for an update and, hearing nothing, we contacted Ocwen on XX/XX/XXXX. The second escrow account analysis had never been performed, although nobody could tell me why. I was told that it would take 3-5 weeks to find out why the analysis had not been performed as promised, or 5-7 business days to perform a new one. I requested that a new analysis be performed at this time. On XXXX XXXX I called to check on the status of the analysis and was told that there was indeed a substantial overage of over {$1300.00} and that a check was en route. I had not received any communications from Ocwen by XX/XX/XXXX, so I called again to check the status. I was told that the escrow account analysis had not actually been performed at any point. I was told that it appeared they had started the analysis but failed to complete it. I asked why, and was transferred to a woman whose job it apparently is to solve mysteries such as these. Her name is XXXX, ID # XXXX, and her contact number is XXXX XXXX. She agreed that it appeared we were due a refund and could not determine why the analysis had failed to be performed as promised on so many different occasions. She asked that I give her 48 hours to determine what the problem was and said she would call me back. I had not heard from her by XXXX, XXXX XXXX ( 48 hours later ) so I left a message for her at the contact number provided. It is now XXXX, XXXX XXXX, and I have yet to receive a return call. Our account is current and in the nine years since securing our mortgage it has never once been late. I have been unable to get a straight answer as to what the problem is, but we are now approaching six months late on our annual escrow account analysis. This is one of many problems we 've had since Ocwen took over the servicing of our loan and we will be addressing these individually, but the failure to perform a simple escrow account analysis is keeping money out of our pockets that is rightfully ours and it is a situation that should have been easily rectified months ago.  ",Ocwen,CA,93200.0,Closed with explanation,Yes,
64802,Debt collection,Medical,Communication tactics,Called after sent written cease of comm,I have complained about this company XXXX through the CFPB and wrote both times that they were to stop calling any number they have for me. The XXXX complaint got no response and the XXXX XXXX I was un able to access the respone on the website. The CFPB said that the company recieved both comnplaints so I know they have seen the do not call me anymore message. Also I have disputed the known debts from this company and that should also be on record with the CFPB  ,"Focused Recovery Solutions, Inc.",VA,23300.0,Closed with explanation,No,
64803,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,"during 2014 I purchased some window treatments from XXXX XXXX company and returned the entire purchase. the store employee was new to XXXX XXXX and did not know how to process a return in the store. After nearly 50 minutes at the store cash register she told us that her manager was not working today, but she would process the return for me and she issued via the cash register a return receipt for the amount I was owed.  Nearly one year later Portfolio Recovery contacted me by phone ask me to pay the XXXX bill for less than {$300.00}. I asked them to send me a copy of the transaction from the store. They sent me in the mail a copy their internal document that simply stated that I owed them less than {$300.00}, but none of the documentation included actual store receipt from XXXX XXXX or an itemized document of purchase.  Since I have over a XXXX credit score it is highly unlikely that I owe this amount that Portofolio Recovery is calling me every day at least 6 times a day ( I have saved all of the messages from them over the last 6 months ).  clearly under the new guidelines that the CFPB has established for debt collectors it seems that Portfolio Recovery is in violation of these new Federal Statues. They also simply are not willing to document the debt they are trying to collect from me and if the debt was correct I would pay this small amount. I never received an monthly statement from XXXX XXXX that shows I owe any money to them.  ","Portfolio Recovery Associates, Inc.",OH,45000.0,Closed with non-monetary relief,Yes,
64804,Debt collection,Credit card,Taking/threatening an illegal action,Sued w/o proper notification of suit,"There are multiple violations of the FACT, FDCPA, and NFDCS. Has not validated despite multiple requests other than stating that Defendant owes the debt. Refuses to provide any information on account or any type of indication that Defendant opened the account or show any evidence that the account is his. Did not notify Defendant of their right to dispute lawsuit. Did not give a "" 30 day '' notice to dispute. Harassment and abuse of constant phone call and mailings despite request for validation and dispute of debt. Threatening that not settling the debt can result in "" tax consequences '' and threatening to take money they are not entitled to take. Misleading and false representations ; legal documents are sent in plain envelopes or boxes written in sharpie marker. Legal docs have no dates, no dept # and are not stamped "" FILED '' or have clerk names or any identifying stamp on them from the court. This makes docs look "" less important '' and "" fake ''. Also sending collection notices on legal type paper that resembles a legal document. Envelopes also do not indicate the law firm or from a lawyer. This is an attempt to deceive the Defendant into thinking they are not legal documents and thus, not respond to win a quick judgment. Initial court summons was not served properly. It was left with a child of XXXX years of age at the residence. When the door was answered, the server threw the papers in the door onto the floor and walked off without saying anything. Further demands and threatening behavior.  This law office is known for these tactics and has multiple offense and rulings against them. They are a collection agency, but pretend they are not.  Please see case # XXXX in ( Nevada ) XXXX Justice Court.  ",Discover,NV,89500.0,Closed with explanation,Yes,
64805,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,XXXX Services Inc. is reporting a non paid red light ticket on XXXX. This is not consumer debt and should not be reported on my credit bureau. These tickets are not mine. Another individual was driving my car and I was not in the car at the time of the occurrences. I was told I am responsible when someone else is driving my car.   I have called both the credit bureaus and the collection agencies. They said they can do this. This is not consumer debt these are fines. Traffic Violations are not reported to credit bureaus. Therefore all of these fines which are not mine should not be reporting on my credit bureau.  ,"Municipal Collections Services, Inc.",IL,60000.0,Closed with non-monetary relief,Yes,
64806,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,"STATEMENT OF COMPLAINT : With this complaint, XXXX XXXX XXXX is requesting the Consumer Financial Protection Bureau bring enforcement action, both civil and criminal, against Caliber Home Loans , Inc .   For purposes of this complaint, "" Caliber Home Loans, Inc. '' means any principal, partner, shareholder, attorney, contract attorney, representative, agent or employee performing any service or work related to any foreclosure, past or present, connected to any mortgage loan, deed of trust or any document submitted to the Public Trustee of XXXX County relevant to the real property located at XXXX XXXX XXXX XXXX in XXXX County, Colorado.   Relevant state and federal court records and documents establish that Caliber Home Loans has knowingly and intentionally engaged in coordinated debt-collection activities to collect a debt in violation of state and federal laws including, but not limited to, the Federal Fair Debt Collection Practices Act ( FDCPA ).   Specifically, Caliber Home Loans is and was, at all relevant times, engaged in the collection and attempts to collect, both directly and indirectly, a time-barred debt from XXXX XXXX XXXX, which Caliber Home Loans unlawfully alleged was owed and due to others.   Additionally, seven years of relevant documents, business records and communications establish that Caliber Home Loans has knowingly and intentionally engaged in coordinated debt-collection activities to mislead, intimidate, and harass XXXX XXXX XXXX, in violation of both state and federal settlement agreements.   Moreover, XXXX XXXX XXXX has probable cause to believe that court documents and court records, along with relevant business records and communications, establish Caliber Home Loans knowingly and intentionally engaged in coordinated and debt-collection activities in violation of FDCPA to commit a fraud on the PUBLIC TRUSTEE OF XXXX COUNTY.   XXXX XXXX XXXX hereby incorporates by reference each and every statement and fact contained within Consumer Financial Protection Bureau Case Number XXXX, as if specifically set forth herein.   XXXX XXXX XXXX hereby incorporates by reference each and every statement and fact contained with Consumer Financial Protection Bureau Case Number XXXX, as if specifically set forth herein.   Finally, XXXX XXXX XXXX hereby incorporates by reference each and every statement and fact contained within any state or federal court document or record relevant to this complaint, as if specifically set forth herein.  ","Caliber Home Loans, Inc",CO,80200.0,Closed with explanation,Yes,
